Unnamed: 0,text_tweet,pisah_hashtag&kata,text_cleaning
481,Kota Kuala Kencana berhasil ngebikin harmonisasi antara lingkungan alam dan kehidupan modern gokil banget! Selain itu kota ini juga jadi model pembangunan Ibu Kota Negara (IKN) Nusantara di Kalimantan Timur loh.,Kota Kuala Kencana berhasil ngebikin harmonisasi antara lingkungan alam dan kehidupan modern gokil banget! Selain itu kota ini juga jadi model pembangunan Ibu Kota Negara (IKN) Nusantara di Kalimantan Timur loh.,kota kuala kencana berhasil ngebikin harmonisasi antara lingkungan alam dan kehidupan modern gokil banget selain itu kota ini juga jadi model pembangunan ibu kota negara ikn nusantara di kalimantan timur loh
493,@ayungbukanariel Tapi engke di pelajaran sejarah negara lain bakal disebutkeun moal nyak jakarta pernah jadi ibu kota? Hahaha,@ayungbukanariel Tapi engke di pelajaran sejarah negara lain bakal disebutkeun moal nyak jakarta pernah jadi ibu kota? Hahaha,tapi engke di pelajaran sejarah negara lain bakal disebutkeun moal nyak jakarta pernah jadi ibu kota hahaha
265,Pembangunan IKN yang ramah lingkungan adalah langkah menuju keberlanjutan dan kelestarian alam. #IKNNusantara #pembangunanIKN #IbuKotaNegara #SmartCity #GreenCity #IKN https://t.co/2zsdnVyBzx,Pembangunan IKN yang ramah lingkungan adalah langkah menuju keberlanjutan dan kelestarian alam. #IKNNusantara #pembangunan IKN #Ibu Kota Negara #Smart City #Green City #IKN https://t.co/2zsdnVyBzx,pembangunan ikn yang ramah lingkungan adalah langkah menuju keberlanjutan dan kelestarian alam iknnusantara pembangunan ikn ibu kota negara smart city green city ikn
110,IKN Nusantara adalah ibu kota negara https://t.co/wkOvC0CBDs,IKN Nusantara adalah ibu kota negara https://t.co/wkOvC0CBDs,ikn nusantara adalah ibu kota negara
468,@terindukan Semoga kita semua diberikan umur panjang supaya bisa melihat bangsa ini bangkit dari keterpurukan #IbuKotaNegara,@terindukan Semoga kita semua diberikan umur panjang supaya bisa melihat bangsa ini bangkit dari keterpurukan #Ibu Kota Negara,semoga kita semua diberikan umur panjang supaya bisa melihat bangsa ini bangkit dari keterpurukan ibu kota negara
708,@youthful_mediaa Menjadi sebuah ibukota tanpa merusak kota yang ada. Yaitu kota bagi para satwa Flora dan fauna #IbuKotaNegara,@youthful_mediaa Menjadi sebuah ibukota tanpa merusak kota yang ada. Yaitu kota bagi para satwa Flora dan fauna #Ibu Kota Negara,menjadi sebuah ibukota tanpa merusak kota yang ada yaitu kota bagi para satwa flora dan fauna ibu kota negara
587,#langsung #BuletinBernama : Hari ini warga kota mula kembali ke ibu negara dan untuk perkembangan trafik terkini di Lebuhraya. Bersama Azeery Idris dan Jurukamera Farez Azmi dari Pusat Pengurusan Trafik Lembaga Lebuhraya Malaysia. https://t.co/2k1PJ0oKts,#langsung #Buletin Bernama : Hari ini warga kota mula kembali ke ibu negara dan untuk perkembangan trafik terkini di Lebuhraya. Bersama Azeery Idris dan Jurukamera Farez Azmi dari Pusat Pengurusan Trafik Lembaga Lebuhraya Malaysia. https://t.co/2k1PJ0oKts,langsung buletin bernama hari ini warga kota mula kembali ke ibu negara dan untuk perkembangan trafik terkini di lebuhraya bersama azeery idris dan jurukamera farez azmi dari pusat pengurusan trafik lembaga lebuhraya malaysia
256,Dipilihnya Kabupaten Kukar sebagai lokasi tujuan dari studi komparatif tersebut tidak terlepas dari berpindahnya Ibu Kota Negara (IKN) ke Kalimantan Timur (Kaltim) yang nantinya akan menjadi masa depan negara Indonesia. Baca selengkapnya: https://t.co/V9kwcdXKnW https://t.co/zZltWLJ8iU,Dipilihnya Kabupaten Kukar sebagai lokasi tujuan dari studi komparatif tersebut tidak terlepas dari berpindahnya Ibu Kota Negara (IKN) ke Kalimantan Timur (Kaltim) yang nantinya akan menjadi masa depan negara Indonesia. Baca selengkapnya: https://t.co/V9kwcdXKnW https://t.co/zZltWLJ8iU,dipilihnya kabupaten kukar sebagai lokasi tujuan dari studi komparatif tersebut tidak terlepas dari berpindahnya ibu kota negara ikn ke kalimantan timur kaltim yang nantinya akan menjadi masa depan negara indonesia baca selengkapnya
260,Untung SG MY sama TH gada rencana pindah ibu kota negara.,Untung SG MY sama TH gada rencana pindah ibu kota negara.,untung sg my sama th gada rencana pindah ibu kota negara
543,@abangbelneg Pemindahan ini adalah investasi masa depan bagi generasi penerus #IbuKotaNegara,@abangbelneg Pemindahan ini adalah investasi masa depan bagi generasi penerus #Ibu Kota Negara,pemindahan ini adalah investasi masa depan bagi generasi penerus ibu kota negara
405,Ini Menteri Jokowi yang Bakal Ngantor Perdana di IKN Mulai Juli https://t.co/FV8P3d5s3A #Nusantara #IbuKotaNegara #IKN #Indonesia,Ini Menteri Jokowi yang Bakal Ngantor Perdana di IKN Mulai Juli https://t.co/FV8P3d5s3A #Nusantara #Ibu Kota Negara #IKN #Indonesia,ini menteri jokowi yang bakal ngantor perdana di ikn mulai juli nusantara ibu kota negara ikn indonesia
428,@abangbelneg Pertumbuhan ekonomi daerah beri efek berganda pada sektor konstruksi #IbuKotaNegara,@abangbelneg Pertumbuhan ekonomi daerah beri efek berganda pada sektor konstruksi #Ibu Kota Negara,pertumbuhan ekonomi daerah beri efek berganda pada sektor konstruksi ibu kota negara
675,Para investor melihat proyek IKN Nusantara sebagai kesempatan untuk berkontribusi pada pembangunan infrastruktur berkelanjutan. #IbuKotaNegara #IKNNusantara #PindahIbuKota https://t.co/hgxmOpo9Rq,Para investor melihat proyek IKN Nusantara sebagai kesempatan untuk berkontribusi pada pembangunan infrastruktur berkelanjutan. #Ibu Kota Negara #IKNNusantara #Pindah Ibu Kota https://t.co/hgxmOpo9Rq,para investor melihat proyek ikn nusantara sebagai kesempatan untuk berkontribusi pada pembangunan infrastruktur berkelanjutan ibu kota negara iknnusantara pindah ibu kota
501,Uni Emirat Arab (UEA) berinvestasi $35 miliar ke kota baru Mesir dengan kompensasi tanah seluas 130 juta meter2. Nilai investasi ini sama dengan dana pembangunan Ibu Kota Negara (IKN). https://t.co/363Agxp6Wu Dalam hal ini Presiden UEA Muhammad bin Zayed (MBZ) adalah dewan ,Uni Emirat Arab (UEA) berinvestasi $35 miliar ke kota baru Mesir dengan kompensasi tanah seluas 130 juta meter2. Nilai investasi ini sama dengan dana pembangunan Ibu Kota Negara (IKN). https://t.co/363Agxp6Wu Dalam hal ini Presiden UEA Muhammad bin Zayed (MBZ) adalah dewan ,uni emirat arab uea berinvestasi  miliar ke kota baru mesir dengan kompensasi tanah seluas  juta meter nilai investasi ini sama dengan dana pembangunan ibu kota negara ikn dalam hal ini presiden uea muhammad bin zayed mbz adalah dewan
